Region,Adult obesity,Food environment index
Midwest,0.323,7.4
Midwest,0.285,8.409
Midwest,0.31,8.2
Midwest,0.272,8.351
Midwest,0.286,8.0
Midwest,0.321,8.123
Midwest,0.323,8.1
Midwest,0.349,8.554
Midwest,0.401,8.3
Midwest,0.31,8.062
Midwest,0.331,7.8
Midwest,0.31,8.412
Midwest,0.314,8.3
Midwest,0.333,7.464
Midwest,0.332,7.3
Midwest,0.295,7.947
Midwest,0.291,7.7
Midwest,0.317,8.982
Midwest,0.306,8.8
Midwest,0.328,8.65
Midwest,0.352,8.4
Midwest,0.317,7.771
Midwest,0.282,7.6
Midwest,0.261,8.488
Midwest,0.312,8.3
Midwest,0.338,8.422
Midwest,0.344,8.2
Midwest,0.316,8.511
Midwest,0.296,8.2
Midwest,0.31,7.065
Midwest,0.337,6.8
Midwest,0.298,7.728
Midwest,0.313,7.5
Midwest,0.336,8.39
Midwest,0.345,8.0
Midwest,0.309,8.862
Midwest,0.304,8.5
Midwest,0.291,8.751
Midwest,0.308,8.5
Midwest,0.307,8.264
Midwest,0.311,7.9
Midwest,0.351,8.076
Midwest,0.339,7.7
Midwest,0.302,8.108
Midwest,0.278,7.8
Midwest,0.24,7.935
Midwest,0.235,7.7
Midwest,0.285,8.528
Midwest,0.306,8.3
Midwest,0.336,7.97
Midwest,0.313,7.7
Midwest,0.311,8.077
Midwest,0.315,7.8
Midwest,0.353,7.776
Midwest,0.361,7.6
Midwest,0.279,8.168
Midwest,0.279,7.9
Midwest,0.326,8.94
Midwest,0.321,8.7
Midwest,0.319,7.744
Midwest,0.305,7.5
Midwest,0.3,8.995
Midwest,0.318,8.6
Midwest,0.308,8.56
Midwest,0.331,8.3
Midwest,0.272,7.689
Midwest,0.287,7.4
Midwest,0.298,8.61
Midwest,0.3,8.4
Midwest,0.32,7.977
Midwest,0.324,7.9
Midwest,0.283,9.021
Midwest,0.29,8.8
Midwest,0.274,8.676
Midwest,0.281,8.3
Midwest,0.274,8.115
Midwest,0.293,7.8
Midwest,0.338,8.104
Midwest,0.342,7.8
Midwest,0.322,7.758
Midwest,0.324,7.5
Midwest,0.34,7.995
Midwest,0.36,7.8
Midwest,0.305,8.173
Midwest,0.287,7.9
Midwest,0.298,8.462
Midwest,0.29,8.2
Midwest,0.322,7.169
Midwest,0.33,6.8
Midwest,0.283,8.018
Midwest,0.293,7.6
Midwest,0.334,9.25
Midwest,0.318,9.0
Midwest,0.301,8.078
Midwest,0.31,7.7
Midwest,0.282,7.962
Midwest,0.282,7.8
Midwest,0.336,7.458
Midwest,0.35,7.2
Midwest,0.294,8.296
Midwest,0.294,8.0
Midwest,0.3,8.562
Midwest,0.318,8.2
Midwest,0.292,8.515
Midwest,0.29,8.2
Midwest,0.285,8.077
Midwest,0.31,7.8
Midwest,0.319,8.235
Midwest,0.299,8.0
Midwest,0.274,9.262
Midwest,0.267,9.0
Midwest,0.251,7.356
Midwest,0.254,7.1
Midwest,0.289,8.068
Midwest,0.319,7.8
Midwest,0.312,8.701
Midwest,0.304,8.4
Midwest,0.331,7.886
Midwest,0.346,7.6
Midwest,0.302,4.879
Midwest,0.306,4.6
Midwest,0.304,7.162
Midwest,0.312,6.9
Midwest,0.31,8.616
Midwest,0.287,8.4
Midwest,0.304,8.695
Midwest,0.3,8.5
Midwest,0.314,7.05
Midwest,0.321,6.7
Midwest,0.287,7.498
Midwest,0.278,7.3
Midwest,0.287,8.225
Midwest,0.325,8.0
Midwest,0.261,8.664
Midwest,0.252,8.5
Midwest,0.31,7.228
Midwest,0.316,7.0
Midwest,0.297,8.622
Midwest,0.303,8.5
Midwest,0.293,8.436
Midwest,0.333,8.4
West,0.235,7.785
West,0.244,7.6
West,0.273,6.817
West,0.285,6.8
West,0.292,7.187
West,0.29,7.0
West,0.266,7.744
West,0.285,7.3
West,0.266,5.802
West,0.273,5.7
West,0.337,7.588
West,0.347,7.5
West,0.184,7.702
West,0.187,7.7
West,0.258,4.716
West,0.244,4.6
West,0.237,6.902
West,0.24,6.8
West,0.284,7.762
West,0.295,7.6
West,0.256,6.532
West,0.251,6.5
West,0.3,7.422
West,0.318,7.1
West,0.3,6.87
West,0.307,6.9
West,0.247,7.232
West,0.268,7.2
West,0.308,6.989
West,0.299,7.0
West,0.316,6.624
West,0.337,6.5
West,0.269,7.421
West,0.268,7.0
West,0.295,6.735
West,0.294,6.4
West,0.282,8.387
West,0.28,8.2
West,0.237,8.105
West,0.266,8.0
West,0.298,6.282
West,0.291,6.1
West,0.308,7.822
West,0.319,7.6
West,0.281,6.086
West,0.273,5.9
West,0.275,8.111
West,0.279,8.0
West,0.323,7.004
West,0.319,7.0
West,0.241,7.084
West,0.246,6.9
West,0.248,7.031
